id,sensor1,sensor2,sensor3
65924,-1.3077442845565712,-0.6989386934208089,-0.6607652904032865
355838,-1.323838053423006,-0.6996678743097691,-0.6618741411501182
352814,-1.3464134728271775,-0.6890386475829681,-0.6713324811983227
208766,-1.3603262342925493,-0.6940930573776422,-0.6689430103300471
161541,-1.228415174133734,-0.6719103272830156,-0.6591676439741023
7999,-1.2578115722758292,-0.6657077482348437,-0.669648854884435
13816,-1.2891986325020213,-0.6801156095310649,-0.6557290835207745
362700,-1.1115933901284465,-0.7062895741761215,-0.6601405323520922
81238,-1.1064543631160153,-0.7148101485564918,-0.6633876560325543
101917,-1.0994975400754226,-0.7163860665813959,-0.6602613344689278
139686,-1.0543941588621482,-0.7246856991530799,-0.6648606093711044
14,-1.123250783783737,-0.721964129936624,-0.6634608838308417
99879,-1.078361833398938,-0.7114975158289335,-0.6486764924949056
82670,-1.0803916577689712,-0.7073935336032258,-0.6366290612951528
261363,-1.1863718895027373,-0.7210669129711019,-0.6224228755614423
346914,-1.2382273771312617,-0.7223651289440378,-0.6235203776700597
14473,-1.1592444619854945,-0.7180738194413163,-0.6286839502106304
34887,-1.0437138900506684,-0.715515901848141,-0.6464485642672282
97070,-0.9939173188452641,-0.7104482862715892,-0.6492549497671947
85199,-1.0907159150217904,-0.7231454726441509,-0.6529484710183031
93071,-1.086907690511717,-0.7199289743207212,-0.6454442161281831
257684,-1.0177699970654779,-0.7268780164823698,-0.6465751404706565
371610,-1.1141422633325775,-0.6955012752150771,-0.6394383718225386
53516,-1.0729343923648258,-0.6992953850660323,-0.6321814695552986
145160,-1.0024220719655914,-0.6955432563807036,-0.6297265308850477
349181,-0.9573828629417681,-0.6731389835874454,-0.6324601870477854
212766,-0.9097714120339253,-0.6584746170109733,-0.6312510331801531
341833,-0.9629762171945163,-0.663069323675049,-0.6329003426784793
62445,-1.034807268561894,-0.6712790083005058,-0.6362848936226794
275044,-1.0421607375903874,-0.660020738184036,-0.6349608263175733
16276,-0.9751585296897264,-0.6577782243374215,-0.6383136076342968
362248,-0.9516523757493179,-0.6736461192957188,-0.6092081430960922
53788,-1.084611848037622,-0.688600362111021,-0.5878566011417358
96125,-1.1781539671252281,-0.6998802598812127,-0.5924243209017488
26859,-1.19680193403747,-0.7110787186848818,-0.5936463555959565
163457,-1.2415684674927416,-0.7146394204898778,-0.5932589536940215
367929,-1.2523815380583665,-0.6956613120689115,-0.5985008044772863
383019,-1.2889271152755764,-0.6936535446643707,-0.5955443708145082
124268,-1.2725387864823585,-0.6734272058363728,-0.6114671243137637
5289,-1.26581690563157,-0.6736143313193859,-0.6136739544663754
297512,-1.2563809376888075,-0.7006130616305013,-0.6067150292396726
31214,-1.2273219291924808,-0.6983491452996369,-0.6040389737162368
152946,-1.290382305962173,-0.7052113372949789,-0.6171575230535288
32610,-1.1698424161077654,-0.7053696684793138,-0.6304757271656114
291374,-1.1752359981156923,-0.704799163353124,-0.6404680322914093
16510,-1.1879814947405893,-0.7199251379890392,-0.6414450048167657
22809,-1.2926322999471833,-0.7100894674263707,-0.6617282934870742
346368,-1.2289247918167496,-0.7041874986518736,-0.6582826990852574
380677,-1.10939988182468,-0.6945794941909373,-0.6605335840809692
11258,-1.1698848705965095,-0.6956813736010373,-0.6675664151530659
319531,-1.0712650926683298,-0.6784501419846573,-0.6803127525820772
63025,-1.125816629157218,-0.69462453020951,-0.6809862274857771
67665,-1.1449697031795294,-0.698376563492538,-0.6831268479384061
378780,-1.1828898915059258,-0.7119864529885228,-0.6707073767489556
214966,-1.2023503871204417,-0.709199998582882,-0.6712845228684712
152205,-1.2615043505146413,-0.6988400411524934,-0.6614493901860173
188809,-1.2864956549322752,-0.6914601680580964,-0.6768926906521792
190336,-1.2272985525017075,-0.7053572363813867,-0.6722692767327307
342941,-1.2405440829244494,-0.6988708486407784,-0.6584703577533619
280756,-1.2758503358448903,-0.7078566810357928,-0.655470663500273
2992,-1.33397521481078,-0.6995084502545249,-0.6541668203940184
362766,-1.3606602490715063,-0.6916027943605503,-0.6403040712997055
309361,-1.3906335115605732,-0.7012851974065946,-0.6393130380874659
26441,-1.4788631986029606,-0.6880587825260966,-0.6434394005396465
345598,-1.3271450519689816,-0.6779798261366126,-0.6466517084568854
198142,-1.3444070746155135,-0.6819747673870271,-0.6491962275082465
98369,-1.3982710252625385,-0.6849079401111765,-0.648495500798204
11527,-1.3593312231940027,-0.6861318754620672,-0.6461378053838563
