id,sensor1,sensor2
8757,-2.0845423811310844,-0.8246915761491007
133621,-1.0609156182373853,-0.8263168704392502
345597,-0.8616342615181155,-0.5548742893183484
61376,-1.7121270977778438,-0.7836342940040523
258771,-1.1331832096144974,-0.8768342724369844
121257,-1.1889581972122547,-0.6947926154646499
364414,-1.70041442833374,-0.6315114065127062
272502,-3.466587669747516,-0.83106614989799
12166,-1.3510089556223694,-0.666704026761334
71321,-0.03614996345815756,-0.9449058435683487
352810,-1.1247798044921327,-0.5899864443355325
352804,-1.3402156000980499,-0.6415064630742032
123970,-0.1883968470373051,-0.610175835256331
2627,-0.9107477451481764,-0.8375268373045286
373071,-1.9714774933466137,-0.7041581019598239
72240,-1.358879847501685,-0.7975902849493142
18328,-1.8311223987797665,-0.7147236782413879
343364,-0.9969801338580678,-0.6589011658746616
306626,-2.6894225347690326,-0.8403766788664798
200752,-1.145244171724708,-0.638215093953078
12636,-1.7139166542023074,-0.7237399529938744
389256,-1.4297682145285568,-0.7186717140162064
303748,-1.3631533782380516,-0.6783020070122422
6620,-2.463070531454909,-0.7542154182785743
209787,-1.3640254002122392,-0.7680368673299691
133313,-2.4899075762792284,-0.8485322907125022
348422,-0.400867300556944,-0.6977932148137622
344677,-1.8927934233276311,-0.7465285879509247
198168,-1.6287258846974608,-0.8313132299419917
28750,-1.5928299572100255,-0.6474139895584806
116904,-1.6953131131329855,-0.6359015965273341
272735,-2.916966187474084,-0.8192453168418702
170808,-2.3540656838960077,-0.7798980926186084
167632,-0.7611323168157195,-0.5458343949193982
364894,-1.7088681787751892,-0.5231921847663681
366371,-0.9874252871827501,-0.7469993608136684
5984,-1.3276390342843005,-0.5079449206353793
316839,-1.5788751552853473,-0.8157645992763783
345389,-0.17204791400588212,-0.6041068447579381
310767,-2.139299718571876,-0.8880459144016049
7858,-0.6791857442166291,-0.6402892391905404
177519,-1.2833855007852508,-0.6024274141441611
273532,-0.8258066915380092,-0.6805350715595325
1675,-1.0019231257920296,-0.636816202515626
77618,-2.0582375453301904,-0.6907876245589633
285740,-0.9429291814700164,-0.5333821082143644
303301,-0.9495983262387278,-0.5487534661147542
70320,-0.9168507577352112,-0.5483135916914346
212293,-0.3854171758101508,-0.943899151446177
231058,-2.257935677222512,-0.7739599880673635
382393,-1.452229245760574,-0.6159116457881875
241806,-1.4460568068082018,-0.7033417276566449
171905,-1.6365865979822085,-0.6750904091541093
395752,-1.3758441208589889,-0.605682055131697
31836,-0.7634985593547153,-0.6819716673471462
144303,-1.4624233817816228,-0.8604786218893189
379121,-0.09405903249778595,-0.6045890078592184
25710,-1.610378106969616,-0.6843848716909209
347786,-1.609704897537773,-0.7965891698203624
334143,0.32400604179048803,-0.786671697511326
332744,-1.3386775629072956,-0.756388440081989
107762,-2.1077527761383785,-0.8280404360943481
369170,-0.995837739060703,-0.7186479593844209
347896,-1.6994800774255943,-0.8343724866156795
189442,-0.7756402038509568,-0.7404563864569731
201985,-1.4440504533900613,-0.5232355777631797
105390,-1.102846058328764,-0.7452549460797505
338128,-0.4835166906266593,-0.9349447604988544
318246,-0.04805060412403563,-0.41560985355825947
164697,-0.9402280937963673,-0.7527390773923309
330032,-1.59395017728743,-0.730757549212105
227543,-0.7902638720742801,-0.5445010237296084
361298,-1.9473134707340398,-0.8075082628444925
366474,-1.0469313193691918,-0.7863669459467908
198195,-1.4682468897554877,-0.4983263381504658
17901,-2.3447802595610177,-0.7365784341992716
74026,-1.1298571026219677,-0.6379542891014583
5360,-2.5271149071451586,-0.8108406039956819
64335,-1.664930063049498,-0.6736744670580648
250022,-1.0887530517257842,-0.8161488637681797
145003,-1.1981983982967868,-0.6936414470239032
164661,-1.0771825342745838,-0.7165164271929833
352086,0.27991333656590245,-0.6268993222979805
65924,-1.0783274652228807,-0.6516273493988156
355838,-1.1816346267928906,-0.7636767907267342
352814,-1.9325814683500024,-0.5713191483100903
208766,-0.9989552940548531,-0.6203171706497215
161541,0.03135243164819296,-0.47476731142509226
7999,-1.4878772915006215,-0.6933282602242127
13816,-1.9390527931483708,-0.7144442575937834
362700,0.31929837604260414,-1.1291879038751205
81238,-1.0527716974355044,-0.7657629048070159
101917,-2.422762561536266,-0.8344793743692429
139686,-0.9883793448503813,-0.7981689556333236
14,-2.1216024255496198,-0.7753253255213396
99879,-0.5248641425247988,-0.5366422354085468
82670,-1.107629899825082,-0.6549566938073674
261363,-1.309790139440588,-0.8320000128161212
346914,-1.8561597796507456,-0.6711005889928534
14473,0.00310910039361777,-0.6993071481859129
34887,-0.19962288932760913,-0.5329503844124593
97070,-0.25200672597378776,-0.5443029370014458
85199,-1.4206265109997016,-0.6652251070135161
93071,-1.4307539238495224,-0.6450807853727685
257684,-0.9019873914547838,-0.8186798900185128
371610,-1.1262856179638907,-0.6585367848657292
53516,-0.4346536329192283,-0.8226745525713454
145160,-1.365077755547747,-0.7781974440893109
349181,-0.31279120949303346,-0.46210486373445303
212766,-1.407430661931978,-0.5553598268742568
341833,-1.3229362199336643,-0.6055628353696817
62445,-2.185095670335751,-0.7781019631892178
275044,-1.4200921748679864,-0.6631259610690757
16276,-0.8511266611408289,-0.637462881293637
362248,0.3557014094997441,-0.937325572560372
53788,-2.194014973652171,-0.757264026641992
96125,-1.6551385122878814,-0.7135014035543226
26859,-1.7003460146833298,-0.8332019890685525
163457,-2.102251925678594,-0.6984913124477072
367929,-1.0641834499391605,-0.5340082637040193
383019,-1.6744692762220361,-0.6284202737976158
124268,-0.1888287010209625,-0.5192794701513788
5289,-1.2642495427859182,-0.7810043263345066
297512,-0.1712516903515961,-0.8670858184011851
31214,-0.9715455344870769,-0.5214010819112916
152946,-2.26884187147905,-0.7084957152998104
32610,-0.37699732251963086,-0.7804769309542409
291374,-1.5009959049868917,-0.6545683841762276
16510,-1.0423091105142825,-0.8643525008323675
22809,-1.2140606685991655,-0.7897905141203435
346368,-1.2384023516956668,-0.6687344950245365
380677,0.13773513759316466,-0.5693813366402772
11258,-2.607620846260775,-0.849730180220052
319531,-0.6229552567558972,-0.44002283820200544
63025,-1.882456497272485,-0.7766240870768105
67665,-1.961765386556709,-0.6847007730430357
