id,sensor1,sensor2,sensor3,sensor4
348103,-1.0876940793904915,-1.242836124537381,-1.3500503829910657,-1.1209470398982182
307478,-1.0797508762465067,-1.2922241808151396,-1.4132292075146906,-1.084870657922432
17255,-1.0458262009036712,-1.3167794669602253,-1.4832165429673572,-1.0723973377032976
36636,-1.0821220535035456,-1.3477075663638791,-1.4886737161306485,-1.0588806508618454
383040,-1.0304083094019914,-1.320796497646354,-1.4317467053718702,-1.0399796388516753
71402,-1.0129444131098344,-1.361873922948187,-1.4289330430084186,-1.0084503004603784
383390,-1.012066283751706,-1.4005504162799185,-1.4962910344604154,-1.0338340423047423
82971,-1.050532868987686,-1.4773092030696926,-1.5878296518697883,-1.0540669576496347
8757,-1.0954429167413537,-1.564270606129642,-1.7184688056755761,-1.1184470694374733
133621,-1.1214325569492896,-1.6178961839917438,-1.8049233807832996,-1.1305852081628451
345597,-1.1232246342017802,-1.6237620778415047,-1.7743541615102598,-1.1078100705562117
61376,-1.2037703184960251,-1.7327199778329556,-1.872211155471615,-1.157352571764675
258771,-1.233339384525937,-1.6503232523335658,-1.8761045232089508,-1.2169943325877097
121257,-1.256997949264839,-1.6705242812864265,-1.8699740886623752,-1.2522512626759852
364414,-1.3371863120571066,-1.8002570345908082,-2.027031610033713,-1.2780712216138777
272502,-1.3887192444974235,-1.9538569121477416,-2.1663686974111624,-1.3187027517915697
12166,-1.4382393012021617,-1.9588078419126043,-2.2731729176072806,-1.347674408998241
71321,-1.416349166609481,-1.8545643807127583,-2.130394167739236,-1.3527170476673063
352810,-1.3652587051328327,-1.8464178883971094,-2.100864902199577,-1.325003893183674
352804,-1.3898724888749125,-1.8905740499374215,-2.15191701804597,-1.3114403603167797
123970,-1.358202714603736,-1.840269288300883,-2.0658580578641894,-1.3039292107268425
2627,-1.3597340916743332,-1.8074892118775991,-1.9476095044139496,-1.3141739633172071
373071,-1.3710658319564337,-1.8302552323752481,-2.026320470792472,-1.3352943618882311
72240,-1.3454059369741962,-1.7979960827687396,-1.9578448584951251,-1.3249238390796159
18328,-1.3393178008690367,-1.8850608076205442,-2.0357962741031845,-1.3278513345475795
343364,-1.349425281617952,-1.8926904745842539,-2.0346793489701263,-1.3414423714184314
306626,-1.36923245623924,-1.9704800648668488,-2.0830718595233377,-1.3695019951588931
200752,-1.3796285960669112,-2.0528913118088563,-2.05082427499912,-1.331824979337338
12636,-1.3950356117862277,-2.09777540208675,-2.0929182826943973,-1.3398206595800213
389256,-1.3548617824054041,-2.0676493380007415,-2.069465697769645,-1.3596760861086614
303748,-1.3040260673692967,-1.9382620576114593,-1.976787411382241,-1.3193250791357087
6620,-1.3241234374392952,-2.060418948286321,-2.022829124577508,-1.3471920796197372
209787,-1.3584792719654706,-2.1650563123509667,-2.112582289264287,-1.3572790955794027
133313,-1.4208885371148792,-2.2083599720721345,-2.196858993192429,-1.4103274091526299
348422,-1.418199380388754,-2.1203862802136277,-2.1187100127078917,-1.386160165448568
344677,-1.470457758023671,-2.2196345203294587,-2.269461887739392,-1.4272510538529721
198168,-1.5048360711961968,-2.250627648249798,-2.3266825649234035,-1.4269255617448118
28750,-1.499232755110342,-2.236554979804122,-2.2656014084117535,-1.4146348222432081
116904,-1.4665604809461783,-2.31243273326429,-2.359330293104569,-1.4117791615502624
272735,-1.5012690156460382,-2.3624596847750077,-2.435069461283261,-1.4338943056365143
170808,-1.5416657056033471,-2.4631786001026637,-2.5311164804577375,-1.4662316379479885
167632,-1.4822737216357003,-2.3261787926387316,-2.4290186065230164,-1.3931418384942276
364894,-1.4489597502249292,-2.361576886160764,-2.59138644427059,-1.3925108229031782
366371,-1.4261835541699572,-2.263208557448275,-2.57303621458228,-1.3872739922852544
5984,-1.4173224064980638,-2.280640887165676,-2.5818189116101684,-1.3579579920676634
316839,-1.4336565800302383,-2.2749493299080727,-2.609606994064573,-1.3827713074591168
345389,-1.3757380441822402,-2.098818948955817,-2.4077683631635027,-1.3309785767054256
310767,-1.4221040552790436,-2.1242108683044645,-2.4496139548909293,-1.3732790781134983
7858,-1.3447114620255023,-2.019665952156021,-2.342543870506491,-1.321466566536742
177519,-1.3621189537730434,-2.087605290619486,-2.4308772104414835,-1.327304154911223
273532,-1.3323118585117357,-2.030660780397717,-2.323731569346459,-1.3068551322907078
1675,-1.2802742542683798,-1.9957605110849683,-2.3055118032741633,-1.2768268539740244
77618,-1.2646044482757715,-2.0773589405151527,-2.377192456768411,-1.2992610752634812
285740,-1.2415272128726955,-2.0194737083995395,-2.2662679976068225,-1.2836031540552175
303301,-1.1891894136222436,-1.900134710618092,-2.1141916862310826,-1.2231787838470642
70320,-1.1117180021212512,-1.8100162342870652,-2.027087309935028,-1.1969054378140216
212293,-1.1292664730925508,-1.7631383946517796,-1.9883907093077657,-1.2281119813377794
231058,-1.153772719003538,-1.736817610085986,-1.988594336336424,-1.2698423784040571
382393,-1.158120722029296,-1.801130911639679,-2.0258661045829998,-1.2583807678955585
241806,-1.152849898443216,-1.8027571617431026,-2.0072960411651213,-1.2954727218016648
171905,-1.1390896523043117,-1.8394085225294816,-2.005569950967224,-1.2753981304981201
395752,-1.1673774553848588,-1.9818811033100443,-2.080257397731719,-1.2999610500589365
31836,-1.0970179668814437,-1.8994187371647475,-2.0160351116814343,-1.2333721565777247
144303,-1.1593629981636953,-1.9123519714039243,-2.0975841770117696,-1.2640051509272836
379121,-1.1260539728645886,-1.8300199175790028,-1.9864244920106788,-1.2431661437322876
25710,-1.1103472141067026,-1.90656203527982,-2.0856037578834643,-1.2841790390616248
347786,-1.1512548621731609,-1.9357803047980657,-2.11584663804283,-1.3082717129254982
334143,-1.1231036492559705,-1.7102627845414673,-1.8937066684225483,-1.2528686877320157
332744,-1.1820426257913865,-1.6782362102172141,-1.9325975081109286,-1.257169627792201
107762,-1.2412419344836556,-1.710302880903413,-2.0734764390389215,-1.3041280542186213
369170,-1.2818986046528782,-1.713813227763885,-2.0428081938964104,-1.3085237968288166
347896,-1.3125874423248465,-1.8113055128526014,-2.1263940959676906,-1.3319202995994368
189442,-1.2744279419067932,-1.7159875487867438,-1.9668594037003495,-1.3103957690160524
201985,-1.287442996612644,-1.7475757388775661,-1.9490584652926917,-1.291059747474876
105390,-1.3017537870953866,-1.720037341015967,-1.9029383037630045,-1.2819477605952012
338128,-1.2889121646023278,-1.6373393567516206,-1.7572142651899478,-1.3088906207069935
318246,-1.252153465574563,-1.525209746423819,-1.6562421180870006,-1.2702454735026218
164697,-1.2785999699541102,-1.532823211159561,-1.6605077818161644,-1.2729389703988898
330032,-1.2461771280621106,-1.5768864308728106,-1.6564509646269043,-1.26560744989986
227543,-1.254907919007824,-1.6055219684945574,-1.7903292284880674,-1.2753023164380992
361298,-1.3053981507354453,-1.5897447191811231,-1.7773065072468661,-1.2704374520752348
366474,-1.2843746925671442,-1.5388999520526618,-1.7547003280108477,-1.2594201679042096
198195,-1.3317288103429852,-1.6748751221585108,-1.930203081400698,-1.2691168734329776
17901,-1.3404351017253038,-1.7837040932130677,-2.0522900664402366,-1.279682308919932
74026,-1.2970053162356627,-1.7639465281766968,-1.912660001224268,-1.2424595513400774
5360,-1.338021813320939,-1.8434162611439215,-2.048302898111327,-1.2731949455337712
64335,-1.325012653958437,-1.8520120328718277,-2.0850992518806235,-1.2402881302320758
250022,-1.3409807834512035,-1.8572995212686905,-2.1192191050036535,-1.2547845808146962
145003,-1.362941893001924,-1.7821486198612633,-2.097506218774219,-1.2648244558373287
164661,-1.360716404964017,-1.7857323668513874,-2.0943813117622905,-1.2605762519078694
352086,-1.3435150858656273,-1.745198418607951,-2.0474558536217162,-1.1793188941765125
65924,-1.3649599085073267,-1.7747870223432936,-2.151636962424388,-1.223691634353778
355838,-1.3688578738195842,-1.8152188157186129,-2.1497317417208537,-1.235380558987848
352814,-1.3942647877676402,-1.8899567333572616,-2.2246644031450016,-1.2041306238062366
208766,-1.3910721651513145,-1.9222739657512282,-2.182801287748362,-1.2282508087871313
161541,-1.3108361755177693,-1.8015350406349184,-2.0490147296692225,-1.1594187617543594
7999,-1.345950921876018,-1.8570656980623186,-2.0622657168367122,-1.1434698040503166
13816,-1.3230020006231262,-1.90525139346232,-2.085351537616974,-1.1961388370746353
362700,-1.2797691244628344,-1.6943163687640912,-1.8230497118247933,-1.1723153839298528
81238,-1.2921391637963533,-1.6909796847810208,-1.7965467666233512,-1.1875914550078175
101917,-1.2773820734251309,-1.6788209581789604,-1.7964738748469584,-1.2061560210412952
139686,-1.2924294133406469,-1.614176626762909,-1.7190080843801006,-1.2049884247832028
14,-1.296738303970352,-1.7012075196340979,-1.8462701832943136,-1.2249799642323826
99879,-1.233347615663407,-1.682316676379536,-1.788819504759934,-1.2170126576234777
82670,-1.2060522509172076,-1.6790254568682585,-1.8193575511494262,-1.222060664577744
261363,-1.2501446064592647,-1.7471361028328112,-1.9754359033675908,-1.2901042887064555
346914,-1.2634595588107675,-1.8227636386449504,-2.0699335308443247,-1.3023126248474028
14473,-1.2398865676340338,-1.7181817576107343,-2.0096044865151668,-1.2530327254211335
34887,-1.2121456978504739,-1.5848235735568157,-1.797708230713225,-1.2259514794908428
97070,-1.1910685570103634,-1.5667603258415634,-1.6985833142930262,-1.2092117112388427
85199,-1.2349536349817307,-1.6776253441852431,-1.8065884454215326,-1.2564235401562853
93071,-1.202910112945245,-1.6701407637971935,-1.828209799488461,-1.2572195423936154
257684,-1.206866359430494,-1.5407173554237255,-1.7530168025139838,-1.2400614267771743
371610,-1.2221833170001049,-1.6414066563631602,-1.877077804502865,-1.2411313592590254
53516,-1.198845154253191,-1.5737728865806468,-1.8580732364029382,-1.2314864937266277
145160,-1.173884072344107,-1.512591367328739,-1.7682706587002517,-1.2029206569442812
349181,-1.1251288006018296,-1.5010046778511745,-1.7129194527380007,-1.1609125405152458
212766,-1.1028569527053045,-1.4724271359264087,-1.6486978375286592,-1.114186269533623
341833,-1.125756441132437,-1.5141099859628124,-1.7504250103333998,-1.1295749106938797
62445,-1.1506979741852286,-1.5970874112484015,-1.8570126848322164,-1.1695749690447985
275044,-1.131113353932723,-1.6493284687598588,-1.8423278920665966,-1.1539996929052425
16276,-1.122246595895993,-1.5555030447010403,-1.7259507437885107,-1.1303336920720368
362248,-1.0728806149590986,-1.5365306983679654,-1.7000398185861831,-1.1740317058491545
53788,-1.1126702434955167,-1.6294427688741717,-1.8889497423822947,-1.2318095117720849
96125,-1.1585640432403528,-1.70194059912484,-2.0290565699590766,-1.2672858346308322
26859,-1.1783784270200024,-1.6822848374884019,-2.052661951994408,-1.3050820696257142
163457,-1.1892647158422929,-1.7455707121827175,-2.1427493731671747,-1.3198573420438482
367929,-1.1797681354597143,-1.792988810852596,-2.139346357384314,-1.2909935808499147
383019,-1.176676683289048,-1.870262675691513,-2.199468124178381,-1.3007181440107038
124268,-1.1723689392020744,-1.8881934588984914,-2.1631979136677257,-1.2616757206909566
5289,-1.1777230041723945,-1.8775534489054937,-2.155327635173822,-1.2545760769850998
297512,-1.1858722441321017,-1.8405639239610039,-2.1500934166715138,-1.2880314756373474
31214,-1.1736406294515582,-1.802277046109537,-2.0941036960321604,-1.2810610563431886
152946,-1.2374660570277556,-1.8827973160362839,-2.1473441953089982,-1.287509191334172
32610,-1.2438493765982697,-1.7319431187106196,-1.976073294113782,-1.2207881631340105
291374,-1.2740151476221975,-1.7307565488002707,-1.9754130240184233,-1.2063312209233206
16510,-1.292392951853529,-1.7415740660036803,-1.9665634287158997,-1.2480883166838517
22809,-1.3595105753536283,-1.8562777271775581,-2.0621222172412934,-1.2630046820801208
346368,-1.3213842756170886,-1.7884634223297682,-1.9939514830570588,-1.2430726972168038
380677,-1.2795148798742813,-1.6653756999502434,-1.8388244071544146,-1.1844079642843435
11258,-1.3226629761128075,-1.750836264805025,-1.8569715216524207,-1.1840522961098694
319531,-1.3034400184747643,-1.6546998945813214,-1.6820384945397928,-1.13173567298693
63025,-1.3395386934439175,-1.6918238878517269,-1.7347509552053342,-1.1726790695369707
67665,-1.351547678351894,-1.702258180216781,-1.7771664104653953,-1.1801854930371045
378780,-1.3628425242505047,-1.7185691384331951,-1.8276958745531737,-1.2170309597264195
214966,-1.3646532139970433,-1.751717921924278,-1.8477192739846153,-1.2160847839787774
152205,-1.3593516762781117,-1.8220876584118626,-1.9202480953277457,-1.2383582111295919
188809,-1.3911090508460622,-1.8703298736778642,-1.9658125801521367,-1.2176445796485666
190336,-1.37586531056171,-1.76680541060127,-1.8652243531166826,-1.2573285992448955
342941,-1.3374092947876837,-1.805944641181045,-1.867580807841879,-1.2771726342869392
280756,-1.3515472960524093,-1.81608690786994,-1.9210908459326281,-1.3057377287133451
